type,date,label,id,name,role,short_topic,long_topic,short_title,long_title,plan_type,lat,lon,zone,zone_detail,start,end,Dataset,date_parsed,Year,Month,MonthName,start_time,end_time,duration_hrs,Topic_Key,Industry,Meeting_Num,Dataset_Label
topic,,expanding_tourist_wharf,expanding_tourist_wharf,,,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee,,,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,,FILAH (Fishing Lobby)
discussion,,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,,,,,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Discuss and share initial views on expanding the tourist wharf/infrastructure,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,7.0,FILAH (Fishing Lobby)
discussion,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,,,,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,Discuss travel plans to Harbor Route Solutions in Haacklee,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,8.0,FILAH (Fishing Lobby)
plan,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,,,,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,8.0,FILAH (Fishing Lobby)
,,Harbor Route Solutions,35889363,,,,,,,,-165.68041773674673,38.98946585258907,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,,,,,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,Expand on views and ideas discussed in the previous meeting,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,8.0,FILAH (Fishing Lobby)
discussion,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,,,,,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,9.0,FILAH (Fishing Lobby)
discussion,,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,,,,,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Get a formal cost impact & environment report started,,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,9.0,FILAH (Fishing Lobby)
plan,,expanding_tourist_wharf_Meeting_9_Report,expanding_tourist_wharf_Meeting_9_Report,,,,,expanding_tourist_wharf_Meeting_9_Report,Get a formal cost impact & environment report,Report,,,,,,,filah,,,,,,,,expanding_tourist_wharf,tourism,9.0,FILAH (Fishing Lobby)
topic,,statue_john_smoth,statue_john_smoth,,,statue_john_smoth,Statue to honor John Smoth in Port Grove,,,,,,,,,,filah,,,,,,,,statue_john_smoth,neutral,,FILAH (Fishing Lobby)
discussion,,statue_john_smoth_Meeting_8_Proposal_Discussion,statue_john_smoth_Meeting_8_Proposal_Discussion,,,,,statue_john_smoth_Meeting_8_Proposal_Discussion,Present proposal for the statue to honor John Smoth,,,,,,,,filah,,,,,,,,statue_john_smoth,neutral,8.0,FILAH (Fishing Lobby)
plan,,statue_john_smoth_Meeting_8_Proposal,statue_john_smoth_Meeting_8_Proposal,,,,,statue_john_smoth_Meeting_8_Proposal,Present proposal for the statue to honor John Smoth,proposal,,,,,,,filah,,,,,,,,statue_john_smoth,neutral,8.0,FILAH (Fishing Lobby)
discussion,,statue_john_smoth_Travel_The_Bait_Stich_Discussion,statue_john_smoth_Travel_The_Bait_Stich_Discussion,,,,,statue_john_smoth_Travel_The_Bait_Stich_Discussion,Discuss travel plans to The Bait & Stich for feedback gathering,,,,,,,,filah,,,,,,,,statue_john_smoth,neutral,9.0,FILAH (Fishing Lobby)
plan,,statue_john_smoth_Travel_The_Bait_Stich,statue_john_smoth_Travel_The_Bait_Stich,,,,,statue_john_smoth_Travel_The_Bait_Stich,Travel to The Bait & Stich,Travel,,,,,,,filah,,,,,,,,statue_john_smoth,neutral,9.0,FILAH (Fishing Lobby)
place,,The Bait & Stich,2519420987,The Bait & Stich,,,,,,,-165.9570387791253,39.09481909072149,tourism,restaurant,,,filah,,,,,,,,unknown,tourism,,FILAH (Fishing Lobby)
topic,,deep_fishing_dock,deep_fishing_dock,,,deep_fishing_dock,Deep maintenance to the commercial fishing dock at Himark,,,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,,FILAH (Fishing Lobby)
discussion,,deep_fishing_dock_Meeting_2_Importance_Discussion,deep_fishing_dock_Meeting_2_Importance_Discussion,,,,,deep_fishing_dock_Meeting_2_Importance_Discussion,Discuss the importance of maintenance and allocate initial budget,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,2.0,FILAH (Fishing Lobby)
discussion,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,,,,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,Discuss travel plans to High Seas Fishing Inc. in Himark,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,3.0,FILAH (Fishing Lobby)
plan,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,,,,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Travel to High Seas Fishing Inc. in Himark,Travel,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,3.0,FILAH (Fishing Lobby)
,,High Seas Fishing Inc.,3753651731,,,,,,,,-165.88631162829017,39.65407871983316,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,,,,,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,Discuss maintenance plan and designate travel representatives,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,3.0,FILAH (Fishing Lobby)
plan,,deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,,,,,deep_fishing_dock_Meeting_3_Maintenance_Plan,Discuss maintenance plan and designate travel representatives,proposal,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,3.0,FILAH (Fishing Lobby)
discussion,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,,,,,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,Discuss the completed travel plans to High Seas Fishing Inc. in Himark,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,4.0,FILAH (Fishing Lobby)
discussion,,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,,,,,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,Report on findings from dock visit,,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,4.0,FILAH (Fishing Lobby)
plan,,deep_fishing_dock_Meeting_4_Findings_Report,deep_fishing_dock_Meeting_4_Findings_Report,,,,,deep_fishing_dock_Meeting_4_Findings_Report,Report on findings from dock visit,report,,,,,,,filah,,,,,,,,deep_fishing_dock,fishing,4.0,FILAH (Fishing Lobby)
topic,,new_crane_lomark,new_crane_lomark,,,new_crane_lomark,Money for a new crane at Lomark,,,,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,,FILAH (Fishing Lobby)
discussion,,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,,,,,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,Present cost analysis for the new crane,,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,4.0,FILAH (Fishing Lobby)
plan,,new_crane_lomark_Meeting_4_Cost_Analysis,new_crane_lomark_Meeting_4_Cost_Analysis,,,,,new_crane_lomark_Meeting_4_Cost_Analysis,Present cost analysis for the new crane,presentation,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,4.0,FILAH (Fishing Lobby)
discussion,,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,,,,,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,Discuss travel plans to Blue Wave Shipping in Lomark,,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,5.0,FILAH (Fishing Lobby)
plan,,new_crane_lomark_Travel_Blue_Wave_Shipping,new_crane_lomark_Travel_Blue_Wave_Shipping,,,,,new_crane_lomark_Travel_Blue_Wave_Shipping,Travel to Blue Wave Shipping in Lomark,Travel,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,5.0,FILAH (Fishing Lobby)
,,Blue Wave Shipping,491334376,,,,,,,,-165.59436715313234,39.55699548649617,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,,,,,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,Discuss the completed travel plans to Blue Wave Shipping in Lomark,,,,,,,,filah,,,,,,,,new_crane_lomark,fishing,8.0,FILAH (Fishing Lobby)
topic,,fish_vacuum,fish_vacuum,,,fish_vacuum,Fish Vacuum,,,,,,,,,,filah,,,,,,,,fish_vacuum,fishing,,FILAH (Fishing Lobby)
discussion,,fish_vacuum_Meeting_1_Introduction_Discussion,fish_vacuum_Meeting_1_Introduction_Discussion,,,,,fish_vacuum_Meeting_1_Introduction_Discussion,General Introduction to what a fish vacuum is,,,,,,,,filah,,,,,,,,fish_vacuum,fishing,1.0,FILAH (Fishing Lobby)
plan,,fish_vacuum_Meeting_1_Introduction,fish_vacuum_Meeting_1_Introduction,,,,,fish_vacuum_Meeting_1_Introduction,General Introduction to what a fish vacuum is,presentation,,,,,,,filah,,,,,,,,fish_vacuum,fishing,1.0,FILAH (Fishing Lobby)
discussion,,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,,,,,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,Discuss travel plans to Bay Harvest Corporation in Himark,,,,,,,,filah,,,,,,,,fish_vacuum,fishing,2.0,FILAH (Fishing Lobby)
plan,,fish_vacuum_Travel_Bay_Harvest_Corporation,fish_vacuum_Travel_Bay_Harvest_Corporation,,,,,fish_vacuum_Travel_Bay_Harvest_Corporation,Travel to Bay Harvest Corporation in Himark,Travel,,,,,,,filah,,,,,,,,fish_vacuum,fishing,2.0,FILAH (Fishing Lobby)
,,Bay Harvest Corporation,30192735,,,,,,,,-165.88484202581887,39.65638234598041,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,,,,,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,Provide cost-benefit analysis of implementing a fish vacuum,,,,,,,,filah,,,,,,,,fish_vacuum,fishing,2.0,FILAH (Fishing Lobby)
plan,,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,,,,,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,Provide cost-benefit analysis of implementing a fish vacuum,proposal,,,,,,,filah,,,,,,,,fish_vacuum,fishing,2.0,FILAH (Fishing Lobby)
discussion,,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,,,,,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,Discuss the completed travel plans to Bay Harvest Corporation in Lomark,,,,,,,,filah,,,,,,,,fish_vacuum,fishing,3.0,FILAH (Fishing Lobby)
topic,,low_volume_crane,low_volume_crane,,,low_volume_crane,Low-volume unload crane in Haacklee,,,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,,,,,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,Discuss travel plans to Harbor Route Solutions in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,5.0,FILAH (Fishing Lobby)
plan,,low_volume_crane_Travel_Harbor_Route_Solutions,low_volume_crane_Travel_Harbor_Route_Solutions,,,,,low_volume_crane_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel,,,,,,,filah,,,,,,,,low_volume_crane,fishing,5.0,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,,,,,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Harbor_Builders_Discussion,low_volume_crane_Travel_Harbor_Builders_Discussion,,,,,low_volume_crane_Travel_Harbor_Builders_Discussion,Discuss travel plans to Harbor Builders in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
plan,,low_volume_crane_Travel_Harbor_Builders,low_volume_crane_Travel_Harbor_Builders,,,,,low_volume_crane_Travel_Harbor_Builders,Travel to Harbor Builders in Haacklee,Travel,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
,,Harbor Builders,35922181,,,,,,,,-165.67106823674675,38.99472785258907,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,,,,,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,Discuss travel plans to Haacklee Assembly Co. in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
plan,,low_volume_crane_Travel_Haacklee_Assembly_Co,low_volume_crane_Travel_Haacklee_Assembly_Co,,,,,low_volume_crane_Travel_Haacklee_Assembly_Co,Travel to Haacklee Assembly Co. in Haacklee,Travel,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
,,Haacklee Assembly Co.,35872967,,,,,,,,-165.67991093674675,38.99139455258907,industrial,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Meeting_8_Report_Discussion,low_volume_crane_Meeting_8_Report_Discussion,,,,,low_volume_crane_Meeting_8_Report_Discussion,Report on travel and submit letter of support for low-volume unload crane,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
plan,,low_volume_crane_Meeting_8_Report,low_volume_crane_Meeting_8_Report,,,,,low_volume_crane_Meeting_8_Report,Report on travel and submit letter of support for low-volume unload crane,report,,,,,,,filah,,,,,,,,low_volume_crane,fishing,8.0,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,,,,,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,Discuss the completed travel plans to Harbor Builders in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,9.0,FILAH (Fishing Lobby)
discussion,,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,,,,,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,Discuss the completed travel plans to Haacklee Assembly Co. in Haacklee,,,,,,,,filah,,,,,,,,low_volume_crane,fishing,9.0,FILAH (Fishing Lobby)
topic,,affordable_housing,affordable_housing,,,affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals),,,,,,,,,,filah,,,,,,,,affordable_housing,neutral,,FILAH (Fishing Lobby)
discussion,,affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing_Meeting_6_Sites_Proposal_Discussion,,,,,affordable_housing_Meeting_6_Sites_Proposal_Discussion,Discuss potential sites for affordable housing,,,,,,,,filah,,,,,,,,affordable_housing,neutral,6.0,FILAH (Fishing Lobby)
plan,,affordable_housing_Meeting_6_Sites_Proposal,affordable_housing_Meeting_6_Sites_Proposal,,,,,affordable_housing_Meeting_6_Sites_Proposal,Discuss potential sites for affordable housing,proposal,,,,,,,filah,,,,,,,,affordable_housing,neutral,6.0,FILAH (Fishing Lobby)
discussion,,affordable_housing_Travel_Waveside_Townhomes_Discussion,affordable_housing_Travel_Waveside_Townhomes_Discussion,,,,,affordable_housing_Travel_Waveside_Townhomes_Discussion,Discuss travel plans to Waveside Townhomes in Lomark,,,,,,,,filah,,,,,,,,affordable_housing,neutral,7.0,FILAH (Fishing Lobby)
plan,,affordable_housing_Travel_Waveside_Townhomes,affordable_housing_Travel_Waveside_Townhomes,,,,,affordable_housing_Travel_Waveside_Townhomes,Travel to Waveside Townhomes in Lomark,Travel,,,,,,,filah,,,,,,,,affordable_housing,neutral,7.0,FILAH (Fishing Lobby)
,,Waveside Townhomes,48468290,,,,,,,,-165.60067726355345,39.52500051834688,residential,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,affordable_housing_Meeting_7_Debate_Discussion,affordable_housing_Meeting_7_Debate_Discussion,,,,,affordable_housing_Meeting_7_Debate_Discussion,Debate the conflict with short-term rentals,,,,,,,,filah,,,,,,,,affordable_housing,neutral,7.0,FILAH (Fishing Lobby)
plan,,affordable_housing_Meeting_7_Debate,affordable_housing_Meeting_7_Debate,,,,,affordable_housing_Meeting_7_Debate,Debate the conflict with short-term rentals,feedback,,,,,,,filah,,,,,,,,affordable_housing,neutral,7.0,FILAH (Fishing Lobby)
discussion,,affordable_housing_Meeting_8_Gather_Feedback_Discussion,affordable_housing_Meeting_8_Gather_Feedback_Discussion,,,,,affordable_housing_Meeting_8_Gather_Feedback_Discussion,Gather community feedback on housing needs,,,,,,,,filah,,,,,,,,affordable_housing,neutral,8.0,FILAH (Fishing Lobby)
plan,,affordable_housing_Meeting_8_Feedback,affordable_housing_Meeting_8_Feedback,,,,,affordable_housing_Meeting_8_Feedback,Gather community feedback on housing needs,feedback,,,,,,,filah,,,,,,,,affordable_housing,neutral,8.0,FILAH (Fishing Lobby)
discussion,,affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing_Meeting_9_Invite_Developers_Discussion,,,,,affordable_housing_Meeting_9_Invite_Developers_Discussion,Invite housing developers,,,,,,,,filah,,,,,,,,affordable_housing,neutral,9.0,FILAH (Fishing Lobby)
plan,,affordable_housing_Meeting_9_Invite_Developers,affordable_housing_Meeting_9_Invite_Developers,,,,,affordable_housing_Meeting_9_Invite_Developers,Invite housing developers,feedback,,,,,,,filah,,,,,,,,affordable_housing,neutral,9.0,FILAH (Fishing Lobby)
topic,,renaming_park_himark,renaming_park_himark,,,renaming_park_himark,Renaming a park in Himark,,,,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,,FILAH (Fishing Lobby)
discussion,,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,,,,,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,Gather ideas for new name for the park,,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,4.0,FILAH (Fishing Lobby)
plan,,renaming_park_himark_Meeting_4_Name_Ideas,renaming_park_himark_Meeting_4_Name_Ideas,,,,,renaming_park_himark_Meeting_4_Name_Ideas,Gather ideas for new name for the park,proposal,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,4.0,FILAH (Fishing Lobby)
discussion,,renaming_park_himark_Travel_Himark_City_Hall_Discussion,renaming_park_himark_Travel_Himark_City_Hall_Discussion,,,,,renaming_park_himark_Travel_Himark_City_Hall_Discussion,Discuss travel plans to Himark City Hall,,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,5.0,FILAH (Fishing Lobby)
plan,,renaming_park_himark_Travel_Himark_City_Hall,renaming_park_himark_Travel_Himark_City_Hall,,,,,renaming_park_himark_Travel_Himark_City_Hall,Travel to Himark City Hall,Travel,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,5.0,FILAH (Fishing Lobby)
,,Himark City Hall,9196630064,,,,,,,,-165.88410403403049,39.66355038525348,government,,,,filah,,,,,,,,unknown,unknown,,FILAH (Fishing Lobby)
discussion,,renaming_park_himark_Meeting_5_Nominations_Discussion,renaming_park_himark_Meeting_5_Nominations_Discussion,,,,,renaming_park_himark_Meeting_5_Nominations_Discussion,Solicit community nominations for the new park name,,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,5.0,FILAH (Fishing Lobby)
plan,,renaming_park_himark_Meeting_5_Nominations,renaming_park_himark_Meeting_5_Nominations,,,,,renaming_park_himark_Meeting_5_Nominations,Solicit community nominations for the new park name,proposal,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,5.0,FILAH (Fishing Lobby)
discussion,,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,,,,,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,Discuss the completed travel plans to Himark City Hall,,,,,,,,filah,,,,,,,,renaming_park_himark,neutral,8.0,FILAH (Fishing Lobby)
topic,,name_harbor_area,name_harbor_area,,,name_harbor_area,Putting a name on pictureque harbor area in Port Grove,,,,,,,,,,filah,,,,,,,,name_harbor_area,neutral,,FILAH (Fishing Lobby)
discussion,,name_harbor_area_Meeting_10_Historical_Significance_Discussion,name_harbor_area_Meeting_10_Historical_Significance_Discussion,,,,,name_harbor_area_Meeting_10_Historical_Significance_Discussion,Provide historical significance for naming the customs office,,,,,,,,filah,,,,,,,,name_harbor_area,neutral,10.0,FILAH (Fishing Lobby)
plan,,name_harbor_area_Meeting_10_Historical_Significance,name_harbor_area_Meeting_10_Historical_Significance,,,,,name_harbor_area_Meeting_10_Historical_Significance,Provide historical significance for naming the customs office,presentation,,,,,,,filah,,,,,,,,name_harbor_area,neutral,10.0,FILAH (Fishing Lobby)
topic,,name_inspection_office,name_inspection_office,,,name_inspection_office,Putting a name on the inspection office in Lomark,,,,,,,,,,filah,,,,,,,,name_inspection_office,neutral,,FILAH (Fishing Lobby)
discussion,,name_inspection_office_Meeting_8_Importance_Discussion,name_inspection_office_Meeting_8_Importance_Discussion,,,,,name_inspection_office_Meeting_8_Importance_Discussion,Discuss the importance of naming the inspection office,,,,,,,,filah,,,,,,,,name_inspection_office,neutral,8.0,FILAH (Fishing Lobby)
plan,,name_inspection_office_Meeting_8_Importance,name_inspection_office_Meeting_8_Importance,,,,,name_inspection_office_Meeting_8_Importance,Discuss the importance of naming the inspection office,presentation,,,,,,,filah,,,,,,,,name_inspection_office,neutral,8.0,FILAH (Fishing Lobby)
discussion,,name_inspection_office_Meeting_8_Proposal_Discussion,name_inspection_office_Meeting_8_Proposal_Discussion,,,,,name_inspection_office_Meeting_8_Proposal_Discussion,Propose potential names based on feedback,,,,,,,,filah,,,,,,,,name_inspection_office,neutral,8.0,FILAH (Fishing Lobby)
plan,,name_inspection_office_Travel_Lomark_Civic_Plaza,name_inspection_office_Travel_Lomark_Civic_Plaza,,,,,name_inspection_office_Travel_Lomark_Civic_Plaza,Travel to Lomark Civic Plaza,Travel,,,,,,,filah,,,,,,,,name_inspection_office,neutral,8.0,FILAH (Fishing Lobby)
